"","Sample_ID","Sample_date","Sample_site","Phylum","Taxa","Density_cellsPerL","Phyto_biomass_mgL","Length_um","Width1_um","Width2_um","Diameter_col_um","Diameter_cell_um","Type","Edible","Size_class","Comments","Length2","Diameter2","Length_um3","per","BMS_mgL_under200","WW_C_conv","bms_ugC_less200","bms_ugC_less200_tot","bms_per","Date","Size_class2","Taxa2"
"83","20210910-36-873",2021-09-10,"36-873","Chlorophyta","Solitary Green",963.4957443,0.093014457,NA,NA,NA,NA,5.5,"Solitary","TRUE","NANO","",0,5.5,5.5,1,0.093014457,"0.16",14.88231312,31.57821872,47.128412314702,"September","Nano","Solitary Green"
"84","20210910-36-873",2021-09-10,"36-873","Chlorophyta","Spiny Green",24.39229732,0.018858327,NA,NA,NA,NA,11.25,"Solitary","FALSE","NANO","",0,11.25,11.25,1,0.018858327,"0.16",3.01733232,31.57821872,9.55510615324537,"September","Nano","Spiny Green"
"85","20210910-36-873",2021-09-10,"36-873","Cryptophyta","Chroomonas",2000.168381,0.379641072,NA,NA,NA,NA,7,"Solitary","TRUE","NANO","",0,7,7,1,0.379641072,"0.11",41.76051792,47.23741517,88.4055949499152,"September","Nano","Chroomonas"
"86","20210910-36-873",2021-09-10,"36-873","Cryptophyta","Cryptomonas",12.19614866,0.027439365,27.5,12.5,NA,NA,NA,"Solitary","TRUE","MICRO","",27.5,0,27.5,1,0.027439365,"0.11",3.01833015,47.23741517,6.38970218657711,"September","Micro","Cryptomonas"
"87","20210910-36-873",2021-09-10,"36-873","Cryptophyta","Rhodomonas",24.39229732,0.02235061,17.5,10,NA,NA,NA,"Solitary","TRUE","NANO","",17.5,0,17.5,1,0.02235061,"0.11",2.4585671,47.23741517,5.20470286350768,"September","Nano","Rhodomonas"
"88","20210910-36-873",2021-09-10,"36-873","Bacillariophyta","Asterionella",0,0,NA,NA,NA,NA,NA,"Colonial","TRUE","","",0,0,0,1,0,"0.11",0,107.935808393993,0,"September","NA","Other Bacillariophyta"
"89","20210910-36-873",2021-09-10,"36-873","Bacillariophyta","Aulacoseira",780.5535143,2.750754734,193.0555556,12.77777778,NA,NA,NA,"Filament","FALSE","MICRO","",193.0555556,0,193.0555556,0.2665956,0.73333910876357,"0.11",80.6673019639927,107.935808393993,74.7363670724889,"September","Micro","Aulacoseira"
"90","20210910-36-873",2021-09-10,"36-873","Bacillariophyta","Centric Diatom",219.5306759,0.149070585,NA,NA,NA,NA,11.66666667,"Solitary","TRUE","NANO","",0,11.66666667,11.66666667,1,0.149070585,"0.11",16.39776435,107.935808393993,15.1921448442245,"September","Nano","Centric Diatom"
"91","20210910-36-873",2021-09-10,"36-873","Bacillariophyta","Cyclotella",24.39229732,0.092869777,NA,NA,NA,NA,21.25,"Solitary","TRUE","MICRO","",0,21.25,21.25,1,0.092869777,"0.11",10.21567547,107.935808393993,9.46458420240874,"September","Micro","Cyclotella"
"92","20210910-36-873",2021-09-10,"36-873","Bacillariophyta","Fragilaria",0,0,NA,NA,NA,NA,NA,"Solitary","TRUE","","",0,0,0,1,0,"0.11",0,107.935808393993,0,"September","NA","Other Bacillariophyta"
"93","20210910-36-873",2021-09-10,"36-873","Bacillariophyta","Navicula",0,0,NA,NA,NA,NA,NA,"Solitary","TRUE","","",0,0,0,1,0,"0.11",0,107.935808393993,0,"September","NA","Other Bacillariophyta"
"94","20210910-36-873",2021-09-10,"36-873","Bacillariophyta","Pennate Diatom",24.39229732,0.005955151,25,4.375,NA,NA,NA,"Solitary","TRUE","MICRO","",25,0,25,1,0.005955151,"0.11",0.65506661,107.935808393993,0.60690388087783,"September","Micro","Other Bacillariophyta"
"95","20210910-36-873",2021-09-10,"36-873","Bacillariophyta","Synedra",0,0,NA,NA,NA,NA,NA,"Solitary","TRUE","","",0,0,0,1,0,"0.11",0,107.935808393993,0,"September","NA","Other Bacillariophyta"
"96","20210910-36-873",2021-09-10,"36-873","Cyanobacteria","Aphanizomenon",378.0806085,0.034124592,142.5,5,NA,NA,NA,"Filament","FALSE","MICRO","",142.5,0,142.5,1,0.034124592,"0.22",7.50741024,270.0560918,2.77994478478934,"September","Micro","Other Cyanobacteria"
"97","20210910-36-873",2021-09-10,"36-873","Cyanobacteria","Aphanocapsa",0,0,NA,NA,NA,NA,NA,"Colonial","FALSE","","",0,0,0,1,0,"0.22",0,270.0560918,0,"September","NA","Other Cyanobacteria"
"98","20210910-36-873",2021-09-10,"36-873","Cyanobacteria","Chroococcus",0,0,NA,NA,NA,NA,NA,"Colonial","FALSE","","",0,0,0,1,0,"0.22",0,270.0560918,0,"September","NA","Other Cyanobacteria"
"99","20210910-36-873",2021-09-10,"36-873","Cyanobacteria","Cyanophyte Coccoid",5000.420951,0.025837641,NA,NA,NA,NA,1.973684211,"Solitary","FALSE","PICO","",0,1.973684211,1.973684211,1,0.025837641,"0.22",5.68428102,270.0560918,2.10485198912295,"September","Pico","Other Cyanobacteria"
"100","20210910-36-873",2021-09-10,"36-873","Cyanobacteria","Dolichospermum",60.98074331,0.00598677,25,5,NA,NA,NA,"Filament","FALSE","MICRO","",25,0,25,1,0.00598677,"0.22",1.3170894,270.0560918,0.487709568490467,"September","Micro","Other Cyanobacteria"
"101","20210910-36-873",2021-09-10,"36-873","Cyanobacteria","Merismopedia",5024.813249,0.005138645,NA,NA,NA,NA,1.25,"Colonial","FALSE","NANO","In bench sheet: 8-32 cells/colony-- colonies are usually rectangular (see pic in guide)",0,1.25,1.25,1,0.005138645,"0.22",1.1305019,270.0560918,0.418617440719402,"September","Nano","Other Cyanobacteria"
"102","20210910-36-873",2021-09-10,"36-873","Cyanobacteria","Microcystis",4276.70659,1.145372,NA,NA,NA,28.125,1.6375,"Colonial","FALSE","MICRO","",0,1.6375,1.6375,1,1.145372,"0.22",251.98184,270.0560918,93.3072230737215,"September","Micro","Microcystis"
